year,field,genarea,n,first,last,range,ord,alpha
1969,Linguistics,Social Sciences,48,1901,2011,110,1901.99,0.8
1987,Education,Education,130,1900,2011,111,1900.99,0.8
2001,Education,Education,46,1900,2011,111,1900.99,0.8
1933,Electrical Engineering,Engineering,12,1924,1963,39,1924.9661312779713,0.8
1937,Electrical Engineering,Engineering,16,1924,1963,39,1924.9661312779713,0.8
1956,French,Humanities,40,1918,2011,93,1918.99,0.8
1971,Electrical Engineering and Computer Science,Engineering,290,1971,2011,40,1971.99,1
1975,Electrical Engineering and Computer Science,Engineering,129,1971,2011,40,1971.99,0.8
1981,Energy and Resources Group ERG,Natural Sciences,9,1981,2011,30,1981.99,1
1948,Engineering,Engineering,234,1948,2011,63,1948.99,1
1949,Engineering,Engineering,263,1948,2011,63,1948.99,0.8
1952,Engineering,Engineering,49,1948,2011,63,1948.99,0.8
1961,Mathematics,Natural Sciences,49,1900,2011,111,1900.99,0.8
1980,Mathematics,Natural Sciences,84,1900,2011,111,1900.99,0.8
1981,Mathematics,Natural Sciences,6,1900,2011,111,1900.99,0.8
1997,Engineering,Engineering,134,1948,2011,63,1948.99,0.8
1918,Mechanical and Electrical Engineering,Engineering,48,1901,1930,29,1901.9497215315764,0.8
1922,Mechanical and Electrical Engineering,Engineering,52,1901,1930,29,1901.9497215315764,0.8
1930,Mechanical and Electrical Engineering,Engineering,48,1901,1930,29,1901.9497215315764,0.1
1902,English,Humanities,35,1900,2011,111,1900.99,0.8
1922,English,Humanities,64,1900,2011,111,1900.99,0.8
1936,English,Humanities,62,1900,2011,111,1900.99,0.8
1937,English,Humanities,59,1900,2011,111,1900.99,0.8
1984,Mechanical Engineering,Engineering,110,1900,2011,111,1900.99,0.8
1938,English,Humanities,57,1900,2011,111,1900.99,0.8
1950,English,Humanities,66,1900,2011,111,1900.99,0.8
1980,English,Humanities,95,1900,2011,111,1900.99,0.8
1981,English,Humanities,89,1900,2011,111,1900.99,0.8
1986,English,Humanities,98,1900,2011,111,1900.99,0.8
1909,Mineralogy,Engineering,1,1900,1912,12,1900.9407707608154,0.4
2003,English,Humanities,2,1900,2011,111,1900.99,0.8
1980,Entomological Sciences,Natural Sciences,26,1973,1993,20,1973.9810492292393,0.8
1963,Entomology and Parisitology,Natural Sciences,29,1951,1971,20,1951.9701093983092,0.8
1970,Environmental Design,Professional,10,1968,1989,21,1968.9790601690702,0.8
1983,Environmental Design,Professional,11,1968,1989,21,1968.9790601690702,0.8
1985,Environmental Design,Professional,11,1968,1989,21,1968.9790601690702,0.5
1997,Environmental Engineering,Engineering,9,1997,2011,14,1997.99,1
1986,Environmental Health Sciences,Professional,62,1986,2011,25,1986.99,1
1995,Ethnic Studies,Humanities,35,1973,2011,38,1973.99,0.8
1927,Ethno,Humanities,12,1927,1927,0,1927.9482297364495,1
1985,Folklore,Humanities,3,1966,2011,45,1966.99,0.8
1941,Forestry,Professional,28,1939,1967,28,1939.9681203381401,0.8
1991,Music,Humanities,56,1906,2011,105,1906.99,0.8
1969,Forestry and Conservation,Professional,47,1968,1974,6,1968.971601193436,0.6
1988,Forestry and Resource Management,Professional,57,1975,1993,18,1975.9810492292393,0.6
1954,French,Humanities,43,1918,2011,93,1918.99,0.8
1955,French,Humanities,39,1918,2011,93,1918.99,0.8
1957,French,Humanities,40,1918,2011,93,1918.99,0.8
1963,French,Humanities,44,1918,2011,93,1918.99,0.8
1975,French,Humanities,43,1918,2011,93,1918.99,0.8
1934,Naval Science and Tactics,Professional,6,1927,1945,18,1927.9571805072103,0.8
1966,Genetics,Natural Sciences,14,1951,1990,39,1951.9795574341124,0.8
1967,Genetics,Natural Sciences,15,1951,1990,39,1951.9795574341124,0.8
1918,Geography,Social Sciences,17,1900,2011,111,1900.99,0.8
1966,Geography,Social Sciences,40,1900,2011,111,1900.99,0.8
1955,Nursing,Professional,39,1940,1958,18,1940.9636449527598,0.4
1980,Nutritional Sciences,Professional,11,1962,1999,37,1962.9840328194928,0.8
1932,Geological Sciences,Natural Sciences,28,1921,1953,32,1921.9611586275485,0.8
1936,Optometry,Professional,8,1929,2011,82,1929.99,0.8
1902,Geology,Natural Sciences,32,1900,1962,62,1900.9656340129288,0.8
1967,Geology and Geophysics,Natural Sciences,46,1963,1999,36,1963.9840328194928,0.8
1922,Oriental Languages,Humanities,14,1901,1991,90,1901.9800546991546,0.8
1928,Oriental Languages,Humanities,18,1901,1991,90,1901.9800546991546,0.8
1949,Oriental Languages,Humanities,52,1901,1991,90,1901.9800546991546,0.8
1999,Geology and Geophysics,Natural Sciences,49,1963,1999,36,1963.9840328194928,0.1
1915,German,Humanities,17,1900,2011,111,1900.99,0.8
1924,German,Humanities,20,1900,2011,111,1900.99,0.8
1944,German,Humanities,23,1900,2011,111,1900.99,0.8
1979,Oriental Languages,Humanities,56,1901,1991,90,1901.9800546991546,0.8
1983,Oriental Languages,Humanities,60,1901,1991,90,1901.9800546991546,0.8
1969,German,Humanities,122,1900,2011,111,1900.99,0.8
1950,Paleontology,Natural Sciences,25,1910,1988,78,1910.978562904028,0.8
1985,German,Humanities,50,1900,2011,111,1900.99,0.8
1992,German,Humanities,70,1900,2011,111,1900.99,0.8
1946,Philosophy,Humanities,36,1900,2011,111,1900.99,0.8
1908,Greek,Humanities,14,1900,1937,37,1900.9532023868721,0.8
1962,Philosophy,Humanities,62,1900,2011,111,1900.99,0.8
1913,Greek,Humanities,15,1900,1937,37,1900.9532023868721,0.8
1931,Greek,Humanities,5,1900,1937,37,1900.9532023868721,0.8
1941,History,Social Sciences,64,1903,2011,108,1903.99,0.8
1953,History,Social Sciences,95,1903,2011,108,1903.99,0.8
1961,History,Social Sciences,91,1903,2011,108,1903.99,0.8
1965,Physics,Natural Sciences,60,1900,2011,111,1900.99,0.8
1968,Physics,Natural Sciences,39,1900,2011,111,1900.99,0.8
1985,Physics,Natural Sciences,70,1900,2011,111,1900.99,0.8
1919,Home Economics,Social Sciences,25,1916,1956,40,1916.9626504226753,0.8
1950,Home Economics,Social Sciences,73,1916,1956,40,1916.9626504226753,0.8
1953,Home Economics,Social Sciences,49,1916,1956,40,1916.9626504226753,0.4
1990,Planning,Professional,53,1976,2011,35,1976.99,0.8
1921,Hygeine,Professional,19,1906,1943,37,1906.9561859771259,0.8
1994,Planning,Professional,114,1976,2011,35,1976.99,0.8
1930,Hygeine,Professional,23,1906,1943,37,1906.9561859771259,0.8
1976,Immunology,Professional,23,1976,1995,19,1976.9820437593237,1
1988,Near Eastern Studies,Humanities,37,1973,2011,38,1973.99,0.8
2003,Plant and Microbial Biology,Natural Sciences,49,1997,2011,14,1997.99,0.8
1925,Plant Nutrition,Natural Sciences,58,1924,1953,29,1924.9611586275485,0.8
1947,Plant Nutrition,Natural Sciences,115,1924,1953,29,1924.9611586275485,0.8
2011,Information,Professional,56,1979,2011,32,1979.99,0.8
1990,Integrative Biology,Natural Sciences,97,1990,2011,21,1990.99,1
1981,Nuclear Engineering,Engineering,70,1976,2011,35,1976.99,0.8
1987,International Education,Humanities,3,1974,1987,13,1974.9780656389855,0.1
1924,Irrigation,Professional,10,1901,1949,48,1901.9591695673794,0.8
1926,Irrigation,Professional,9,1901,1949,48,1901.9591695673794,0.8
1940,Irrigation,Professional,11,1901,1949,48,1901.9591695673794,0.8
1925,Italian,Humanities,7,1919,1994,75,1919.9815464942815,0.8
1956,Italian,Humanities,16,1919,1994,75,1919.9815464942815,0.8
1976,Political Science,Social Sciences,155,1903,2011,108,1903.99,0.8
1988,Italian,Humanities,43,1919,1994,75,1919.9815464942815,0.8
1953,Journalism,Professional,15,1940,2011,71,1940.99,0.8
1966,Journalism,Professional,28,1940,2011,71,1940.99,0.8
1995,Political Science,Social Sciences,163,1903,2011,108,1903.99,0.8
1999,Political Science,Social Sciences,41,1903,2011,108,1903.99,0.8
1977,Practice of Art,Humanities,20,1973,2011,38,1973.99,0.8
1937,Jurisprudence,Professional,54,1900,1949,49,1900.9591695673794,0.8
1991,Practice of Art,Humanities,30,1973,2011,38,1973.99,0.8
1944,Psychology,Social Sciences,30,1922,2011,89,1922.99,0.8
1976,Psychology,Social Sciences,72,1922,2011,89,1922.99,0.8
1914,Latin,Humanities,31,1900,1936,36,1900.95270512183,0.8
1927,Latin,Humanities,10,1900,1936,36,1900.95270512183,0.8
1934,Latin,Humanities,30,1900,1936,36,1900.95270512183,0.3
1955,Law,Professional,56,1949,2011,62,1949.99,0.8
1988,Public and NonProfit Management,Professional,7,1986,1995,9,1986.9820437593237,0.8
1997,Legal Studies,Professional,10,1983,2011,28,1983.99,0.8
1934,Librarianship,Professional,16,1926,1978,52,1926.9735902536052,0.8
1969,Librarianship,Professional,16,1926,1978,52,1926.9735902536052,0.8
1987,Library and Information Studies,Professional,48,1986,1995,9,1986.9820437593237,0.8
1952,Linguistics,Social Sciences,13,1901,2011,110,1901.99,0.8
1953,Linguistics,Social Sciences,15,1901,2011,110,1901.99,0.8
1989,Logic and the Methodology of Science,Social Sciences,9,1966,2011,45,1966.99,0.8
2007,Logic and the Methodology of Science,Social Sciences,14,1966,2011,45,1966.99,0.8
2009,Material Science and Engineering,Engineering,49,1971,2011,40,1971.99,0.8
1911,Mathematics,Natural Sciences,28,1900,2011,111,1900.99,0.8
1970,Scandinavian,Humanities,44,1951,2011,60,1951.99,0.8
1925,Mathematics,Natural Sciences,9,1900,2011,111,1900.99,0.8
1936,Semitic Languages,Humanities,20,1901,1945,44,1901.9571805072103,0.8
1942,Semitic Languages,Humanities,20,1901,1945,44,1901.9571805072103,0.4
1914,Mechanical and Electrical Engineering,Engineering,24,1901,1930,29,1901.9497215315764,0.8
1990,Slavic Languages and Literatures?,Humanities,76,1952,2011,59,1952.99,0.8
1927,Mechanical and Electrical Engineering,Engineering,46,1901,1930,29,1901.9497215315764,0.4
1975,Mechanical Engineering,Engineering,71,1900,2011,111,1900.99,0.8
2011,Mechanical Engineering,Engineering,124,1900,2011,111,1900.99,0.8
1950,MedicoMilitary Science and Tactics,Professional,7,1925,1950,25,1925.9596668324216,0.1
1915,Military Science and Tactics,Professional,3,1900,1957,57,1900.9631476877175,0.8
1900,Mineralogy,Engineering,4,1900,1912,12,1900.9407707608154,1
1906,Mining and Metallurgy,Engineering,14,1900,1946,46,1900.9576777722525,0.8
1984,Molecular Plant Biology,Natural Sciences,13,1983,1989,6,1983.9790601690702,0.6
2003,Molevular and Biochemical Nutrition,Professional,2,2003,2003,0,2003.9860218796618,1
1913,Music,Humanities,8,1906,2011,105,1906.99,0.8
1918,Music,Humanities,12,1906,2011,105,1906.99,0.8
1935,Music,Humanities,18,1906,2011,105,1906.99,0.8
1942,Music,Humanities,36,1906,2011,105,1906.99,0.8
1949,Music,Humanities,67,1906,2011,105,1906.99,0.8
1952,Music,Humanities,83,1906,2011,105,1906.99,0.8
1954,Music,Humanities,69,1906,2011,105,1906.99,0.8
1990,Native American Studies,Humanities,21,1975,2011,36,1975.99,0.8
1968,Near Eastern Languages,Humanities,4,1946,1971,25,1946.9701093983092,0.4
1993,Plant Biology,Natural Sciences,19,1990,2003,13,1990.9860218796618,0.8
1909,Political Science,Social Sciences,13,1903,2011,108,1903.99,0.8
1989,Nuclear Engineering,Engineering,29,1976,2011,35,1976.99,0.8
1980,Zoology,Natural Sciences,96,1900,1988,88,1900.978562904028,0.8
1943,Nursing,Professional,33,1940,1958,18,1940.9636449527598,0.8
1997,Nutritional Sciences,Professional,33,1962,1999,37,1962.9840328194928,0.3
1958,Optometry,Professional,7,1929,2011,82,1929.99,0.8
2011,Optometry,Professional,63,1929,2011,82,1929.99,0.8
1915,Oriental Languages,Humanities,17,1901,1991,90,1901.9800546991546,0.8
1987,Paleontology,Natural Sciences,44,1910,1988,78,1910.978562904028,0.2
1993,Peace and Conflict Studies,Humanities,26,1989,2005,16,1989.9870164097465,0.8
1926,Philosophy,Humanities,27,1900,2011,111,1900.99,0.8
1942,Philosophy,Humanities,42,1900,2011,111,1900.99,0.8
1950,Philosophy,Humanities,49,1900,2011,111,1900.99,0.8
1971,Psychology,Social Sciences,56,1922,2011,89,1922.99,0.8
2001,Philosophy,Humanities,25,1900,2011,111,1900.99,0.8
1967,Physical Education,Education,28,1943,2011,68,1943.99,0.8
1906,Physics,Natural Sciences,19,1900,2011,111,1900.99,0.8
1951,Physics,Natural Sciences,55,1900,2011,111,1900.99,0.8
1956,Physics,Natural Sciences,58,1900,2011,111,1900.99,0.8
1950,Physiology,Natural Sciences,19,1903,1964,61,1903.9666285430135,0.8
1965,Physiology Anatomy,Natural Sciences,31,1965,1991,26,1965.9800546991546,1
1980,Plant and Soil Biology,Natural Sciences,19,1980,1989,9,1980.9790601690702,1
1987,Plant Pathology,Natural Sciences,20,1951,1993,42,1951.9810492292393,0.8
1977,Political Economy of Industrial Societies,Social Sciences,1,1976,2007,31,1976.988010939831,0.8
1965,Political Science,Social Sciences,118,1903,2011,108,1903.99,0.8
1968,Political Science,Social Sciences,59,1903,2011,108,1903.99,0.8
1975,Political Science,Social Sciences,50,1903,2011,108,1903.99,0.8
2003,Political Science,Social Sciences,10,1903,2011,108,1903.99,0.8
1931,Pomology,Professional,9,1926,1954,28,1926.9616558925907,0.8
1961,Poultry Husbandry,Professional,4,1951,1967,16,1951.9681203381401,0.8
1929,Psychology,Social Sciences,21,1922,2011,89,1922.99,0.8
1949,Public Health,Professional,72,1937,2011,74,1937.99,0.8
1955,Public Health,Professional,69,1937,2011,74,1937.99,0.8
1965,Spanish and Portuguese,Humanities,50,1931,2011,80,1931.99,0.8
1986,Range Management,Professional,8,1953,2011,58,1953.99,0.8
1988,Range Management,Professional,7,1953,2011,58,1953.99,0.8
1989,Range Management,Professional,9,1953,2011,58,1953.99,0.8
1979,Religious Studies,Humanities,4,1973,1983,10,1973.9760765788164,0.5
1935,Romance Philology,Humanities,2,1924,1997,73,1924.9830382894083,0.8
1912,Romanic Languages,Humanities,11,1900,1943,43,1900.9561859771259,0.8
1913,Romanic Languages,Humanities,12,1900,1943,43,1900.9561859771259,0.8
1986,Scandinavian,Humanities,53,1951,2011,60,1951.99,0.8
1965,Zoology,Natural Sciences,69,1900,1988,88,1900.978562904028,0.8
1964,Soil Science,Professional,20,1956,1992,36,1956.9805519641968,0.8
1945,Spanish and Portuguese,Humanities,29,1931,2011,80,1931.99,0.8
1948,Speech,Professional,23,1946,1968,22,1946.9686176031826,0.8
2001,Rhetoric,Professional,30,1969,2011,42,1969.99,0.8
1963,Air Science,Professional,6,1954,2011,57,1954.99,0.8
1936,Anatomy,Natural Sciences,8,1908,1988,80,1908.978562904028,0.8
1940,Anatomy,Natural Sciences,7,1908,1988,80,1908.978562904028,0.8
2007,Ancient History and Mediterranean Archa?eology,Social Sciences,1,1993,2011,18,1993.99,0.8
1934,Slavic Languages,Humanities,17,1902,1995,93,1902.9820437593237,0.8
1935,Slavic Languages,Humanities,17,1902,1995,93,1902.9820437593237,0.8
2011,Biophysics,Natural Sciences,3,2005,2011,6,2005.99,0.8
1986,Buddhist Studies,Humanities,2,1974,2011,37,1974.99,0.8
1980,Materials Science and Mineral Engineering,Engineering,81,1977,1999,22,1977.9840328194928,0.8
1971,Military Science,Professional,7,1964,1978,14,1964.9735902536052,0.8
1968,Genetics,Natural Sciences,10,1951,1990,39,1951.9795574341124,0.8
1954,Geology,Natural Sciences,36,1900,1962,62,1900.9656340129288,0.8
1954,Plant Pathology,Natural Sciences,12,1951,1993,42,1951.9810492292393,0.8
1952,Landscape Architecture,Professional,7,1949,1995,46,1949.9820437593237,0.8
1973,Naval Architecture,Professional,15,1961,1980,19,1961.9745847836898,0.8
1940,Physiology,Natural Sciences,14,1903,1964,61,1903.9666285430135,0.8
1970,Soil Science,Professional,3,1956,1992,36,1956.9805519641968,0.8
1923,Biochemistry and Pharmacology,Natural Sciences,5,1916,1927,11,1916.9482297364495,0.5
1901,Military Science and Tactics,Professional,3,1900,1957,57,1900.9631476877175,0.8
1919,Semitic Languages,Humanities,7,1901,1945,44,1901.9571805072103,0.8
1995,Sociology,Social Sciences,1,1950,2011,61,1950.99,0.8
1906,Geography,Social Sciences,11,1900,2011,111,1900.99,0.8
1908,Botany,Natural Sciences,12,1900,1988,88,1900.978562904028,0.8
1904,Greek,Humanities,21,1900,1937,37,1900.9532023868721,0.8
1941,Irrigation,Professional,11,1901,1949,48,1901.9591695673794,0.8
1936,Irrigation,Professional,12,1901,1949,48,1901.9591695673794,0.8
1935,Irrigation,Professional,12,1901,1949,48,1901.9591695673794,0.8
1903,Mineralogy,Engineering,5,1900,1912,12,1900.9407707608154,0.8
1937,MedicoMilitary Science and Tactics,Professional,3,1925,1950,25,1925.9596668324216,0.8
1943,Dramatic Art,Humanities,4,1942,1994,52,1942.9815464942815,0.8
1947,Near Eastern Languages,Humanities,17,1946,1971,25,1946.9701093983092,0.8
1918,Semitic Languages,Humanities,1,1901,1945,44,1901.9571805072103,0.8
1908,Semitic Languages,Humanities,2,1901,1945,44,1901.9571805072103,0.8
1934,Sanskrit,Humanities,7,1906,1999,93,1906.9840328194928,0.8
1969,Music,Humanities,2,1906,2011,105,1906.99,0.8
1945,Mathematics,Natural Sciences,1,1900,2011,111,1900.99,0.8
1958,Zoology,Natural Sciences,1,1900,1988,88,1900.978562904028,0.8
1997,Logic and the Methodology of Science,Social Sciences,1,1966,2011,45,1966.99,0.8
1979,AfroAmerican Studies,Humanities,49,1975,1991,16,1975.9800546991546,0.8
1981,AfroAmerican Studies,Humanities,33,1975,1991,16,1975.9800546991546,0.8
1988,AfroAmerican Studies,Humanities,45,1975,1991,16,1975.9800546991546,0.4
1993,Agricultural and Environmental Chemistry,Professional,7,1981,1995,14,1981.9820437593237,0.3
1925,Public Speaking,Professional,14,1915,1946,31,1915.9576777722525,0.8
1941,Public Speaking,Professional,8,1915,1946,31,1915.9576777722525,0.6
1953,Range Management,Professional,9,1953,2011,58,1953.99,1
1990,Agricultural and Resource Economics,Professional,39,1980,2011,31,1980.99,0.8
1995,Agricultural and Resource Economics,Professional,36,1980,2011,31,1980.99,0.8
1973,Agricultural Economics,Professional,24,1926,1974,48,1926.971601193436,0.2
1911,Agriculture,Professional,55,1911,1957,46,1911.9631476877175,1
1988,Rhetoric,Professional,59,1969,2011,42,1969.99,0.8
1925,Agriculture,Professional,1,1911,1957,46,1911.9631476877175,0.8
1999,Rhetoric,Professional,34,1969,2011,42,1969.99,0.8
1936,Agriculture,Professional,174,1911,1957,46,1911.9631476877175,0.8
1913,Sanskrit,Humanities,10,1906,1999,93,1906.9840328194928,0.8
1951,Engineering,Engineering,280,1948,2011,63,1948.99,0.8
1990,Scandinavian,Humanities,43,1951,2011,60,1951.99,0.8
1952,Air Science and Tactics,Professional,9,1951,1952,1,1951.9606613625062,0.1
1951,American Civilization,Social Sciences,1,1941,1954,13,1941.9616558925907,0.4
2001,American Studies,Humanities,12,1993,2011,18,1993.99,0.8
2007,American Studies,Humanities,8,1993,2011,18,1993.99,0.8
2003,Science and Mathematics Education,Education,8,1969,2011,42,1969.99,0.8
1966,Engineering,Engineering,457,1948,2011,63,1948.99,0.8
1929,Semitic Languages,Humanities,12,1901,1945,44,1901.9571805072103,0.8
1961,Anatomy,Natural Sciences,6,1908,1988,80,1908.978562904028,0.8
1939,Slavic Languages,Humanities,17,1902,1995,93,1902.9820437593237,0.8
1943,Slavic Languages,Humanities,13,1902,1995,93,1902.9820437593237,0.8
1935,Anthropology,Social Sciences,26,1902,2011,109,1902.99,0.8
1955,Slavic Languages and Literatures?,Humanities,68,1952,2011,59,1952.99,0.8
1956,Anthropology,Social Sciences,46,1902,2011,109,1902.99,0.8
1978,Slavic Languages and Literatures?,Humanities,66,1952,2011,59,1952.99,0.8
1983,Anthropology,Social Sciences,130,1902,2011,109,1902.99,0.8
1988,Anthropology,Social Sciences,80,1902,2011,109,1902.99,0.8
1956,Social Welfare,Professional,34,1939,2011,72,1939.99,0.8
1917,Architecture,Professional,16,1900,2011,111,1900.99,0.8
1948,Architecture,Professional,30,1900,2011,111,1900.99,0.8
1966,Architecture,Professional,12,1900,2011,111,1900.99,0.8
1970,Architecture,Professional,52,1900,2011,111,1900.99,0.8
1966,Sociology,Social Sciences,57,1950,2011,61,1950.99,0.8
1991,Architecture,Professional,152,1900,2011,111,1900.99,0.8
1995,Architecture,Professional,149,1900,2011,111,1900.99,0.8
1932,Art,Humanities,25,1923,1971,48,1923.9701093983092,0.8
1940,Art,Humanities,30,1923,1971,48,1923.9701093983092,0.8
1941,Art,Humanities,34,1923,1971,48,1923.9701093983092,0.8
1948,Sociology and Social Institutions,Social Sciences,32,1946,1958,12,1946.9636449527598,0.8
2001,Asian American Studies,Humanities,37,1978,2009,31,1978.9890054699156,0.8
2007,Asian American Studies,Humanities,36,1978,2009,31,1978.9890054699156,0.3
1922,Astronomy,Natural Sciences,20,1900,2011,111,1900.99,0.8
1973,Soils and Plant Nutrition,Professional,32,1954,1975,21,1954.9720984584783,0.3
1943,Astronomy,Natural Sciences,21,1900,2011,111,1900.99,0.8
1966,Atmospheric and Space Sciences,Natural Sciences,6,1965,1970,5,1965.969612133267,0.5
1939,Bacteriology,Natural Sciences,10,1924,1977,53,1924.973092988563,0.8
1969,Bacteriology and Immunology,Natural Sciences,14,1965,1978,13,1965.9735902536052,0.8
1977,Bacteriology and Immunology,Natural Sciences,28,1965,1978,13,1965.9735902536052,0.2
1936,Biochemistry,Natural Sciences,11,1936,1948,12,1936.9586723023372,1
1983,Biology,Natural Sciences,19,1966,1991,25,1966.9800546991546,0.8
1985,Biology,Natural Sciences,22,1966,1991,25,1966.9800546991546,0.8
1983,Biophysics and Medical Physics,Natural Sciences,27,1979,1988,9,1979.978562904028,0.6
1988,Biostatistics,Natural Sciences,34,1969,1989,20,1969.9790601690702,0.2
1913,Botany,Natural Sciences,15,1900,1988,88,1900.978562904028,0.8
1925,Botany,Natural Sciences,22,1900,1988,88,1900.978562904028,0.8
1934,Botany,Natural Sciences,23,1900,1988,88,1900.978562904028,0.8
1970,Forestry and Conservation,Professional,47,1968,1974,6,1968.971601193436,0.5
1975,Botany,Natural Sciences,27,1900,1988,88,1900.978562904028,0.8
1981,Botany,Natural Sciences,30,1900,1988,88,1900.978562904028,0.8
1987,Botany,Natural Sciences,35,1900,1988,88,1900.978562904028,0.2
1992,Buddhist Studies,Humanities,130,1974,2011,37,1974.99,0.8
2009,Buddhist Studies,Humanities,28,1974,2011,37,1974.99,0.8
1964,Speech,Professional,84,1946,1968,22,1946.9686176031826,0.5
1966,Statistics,Natural Sciences,51,1954,2011,57,1954.99,0.8
1968,Statistics,Natural Sciences,46,1954,2011,57,1954.99,0.8
1970,Statistics,Natural Sciences,63,1954,2011,57,1954.99,0.8
1965,Business Administration,Professional,101,1942,2011,69,1942.99,0.8
1999,French,Humanities,59,1918,2011,93,1918.99,0.8
1983,Wildland Resource Science,Professional,27,1979,1987,8,1979.9780656389855,0.5
1915,Geography,Social Sciences,17,1900,2011,111,1900.99,0.8
2011,Celtic Studies,Humanities,23,1990,2011,21,1990.99,0.8
1970,Chemical Engineering,Engineering,58,1956,2011,55,1956.99,0.8
1986,Chemical Engineering,Engineering,40,1956,2011,55,1956.99,0.8
2003,Geography,Social Sciences,21,1900,2011,111,1900.99,0.8
1912,Chemistry,Natural Sciences,23,1900,2007,107,1900.988010939831,0.8
1916,Chemistry,Natural Sciences,27,1900,2007,107,1900.988010939831,0.8
1917,Chemistry,Natural Sciences,22,1900,2007,107,1900.988010939831,0.8
1938,Chemistry,Natural Sciences,13,1900,2007,107,1900.988010939831,0.8
1950,Chemistry,Natural Sciences,48,1900,2007,107,1900.988010939831,0.8
1958,Chemistry,Natural Sciences,44,1900,2007,107,1900.988010939831,0.8
1968,Chemistry,Natural Sciences,47,1900,2007,107,1900.988010939831,0.8
1999,Chemistry,Natural Sciences,58,1900,2007,107,1900.988010939831,0.8
1951,Chemistry and Chemical Engineering,Natural Sciences,51,1948,1955,7,1948.962153157633,0.5
1968,City and Regional Planning,Professional,34,1948,2011,63,1948.99,0.8
1993,City and Regional Planning,Professional,52,1948,2011,63,1948.99,0.8
2007,City and Regional Planning,Professional,56,1948,2011,63,1948.99,0.8
1922,Civil Engineering,Engineering,36,1900,1995,95,1900.9820437593237,0.8
1974,Civil Engineering,Engineering,151,1900,1995,95,1900.9820437593237,0.8
1989,Civil Engineering,Engineering,146,1900,1995,95,1900.9820437593237,0.8
1968,History,Social Sciences,68,1903,2011,108,1903.99,0.8
1978,History,Social Sciences,70,1903,2011,108,1903.99,0.8
1966,Classics,Humanities,82,1938,2011,73,1938.99,0.8
1968,Classics,Humanities,86,1938,2011,73,1938.99,0.8
1979,Classics,Humanities,97,1938,2011,73,1938.99,0.8
1992,Classics,Humanities,73,1938,2011,73,1938.99,0.8
1997,Classics,Humanities,46,1938,2011,73,1938.99,0.8
1921,Household Art,Humanities,13,1920,1938,18,1920.9536996519146,0.8
1968,Humanities,Humanities,1,1961,1995,34,1961.9820437593237,0.8
1997,Comparative Literature,Humanities,14,1947,2011,64,1947.99,0.8
2011,Comparative Literature,Humanities,19,1947,2011,64,1947.99,0.8
1987,Composition,Humanities,5,1975,1992,17,1975.9805519641968,0.6
1988,Composition,Humanities,7,1975,1992,17,1975.9805519641968,0.5
1991,Composition,Humanities,3,1975,1992,17,1975.9805519641968,0.2
1988,Conservation and Resource Studies,Professional,28,1981,1993,12,1981.9810492292393,0.6
1950,Criminology,Social Sciences,23,1949,1975,26,1949.9720984584783,0.8
1952,Criminology,Social Sciences,27,1949,1975,26,1949.9720984584783,0.8
1979,Critical Theory,Humanities,56,1976,1985,9,1976.977071108901,0.8
1993,Dance,Humanities,18,1986,1993,7,1986.9810492292393,0.1
1941,Decorative Art,Humanities,19,1939,1964,25,1939.9666285430135,0.8
1947,Decorative Art,Humanities,19,1939,1964,25,1939.9666285430135,0.8
1973,Design,Professional,33,1965,1978,13,1965.9735902536052,0.6
1991,Development Studies,Professional,8,1983,1991,8,1983.9800546991546,0.1
1946,Dramatic Art,Humanities,12,1942,1994,52,1942.9815464942815,0.8
1950,Dramatic Art,Humanities,17,1942,1994,52,1942.9815464942815,0.8
1952,Dramatic Art,Humanities,17,1942,1994,52,1942.9815464942815,0.8
1956,Dramatic Art,Humanities,22,1942,1994,52,1942.9815464942815,0.8
1977,International Education,Humanities,3,1974,1987,13,1974.9780656389855,0.8
1976,Dramatic Art,Humanities,40,1942,1994,52,1942.9815464942815,0.8
1920,Drawing and Art,Humanities,26,1914,1922,8,1914.9457434112383,0.3
2001,Earth and Planetary Science,Natural Sciences,2,2001,2011,10,2001.99,1
1992,East Asian Languages,Humanities,138,1992,1999,7,1992.9840328194928,1
1990,Journalism,Professional,43,1940,2011,71,1940.99,0.8
1949,Economics,Social Sciences,50,1902,2011,109,1902.99,0.8
1965,Economics,Social Sciences,63,1902,2011,109,1902.99,0.8
1967,Economics,Social Sciences,53,1902,2011,109,1902.99,0.8
1979,Economics,Social Sciences,12,1902,2011,109,1902.99,0.8
1909,Education,Education,12,1900,2011,111,1900.99,0.8
1928,Education,Education,46,1900,2011,111,1900.99,0.8
1938,Education,Education,73,1900,2011,111,1900.99,0.8
1940,Education,Education,72,1900,2011,111,1900.99,0.8
1948,Education,Education,90,1900,2011,111,1900.99,0.8
1963,Education,Education,104,1900,2011,111,1900.99,0.8
1965,Education,Education,111,1900,2011,111,1900.99,0.8
1995,Linguistics,Social Sciences,46,1901,2011,110,1901.99,0.8
2009,Linguistics,Social Sciences,49,1901,2011,110,1901.99,0.8
1999,Education,Education,16,1900,2011,111,1900.99,0.8
1988,Management,Professional,6,1986,2011,25,1986.99,0.8
2003,Management,Professional,160,1986,2011,25,1986.99,0.8
1963,Electrical Engineering,Engineering,17,1924,1963,39,1924.9661312779713,0.1
