ord,type,category,subcategory_1,subcategory_2,indent,text,orig,all,gen_GI,gen_Trad,gen_Boom,gen_X,gen_Mil
307,spending,Housing,Housekeeping supplies,Laundry and cleaning supplies,6,CV(%),CV(%),4.83,27.64,18.34,8.46,5.94,6.27
308,spending,Housing,Housekeeping supplies,Laundry and cleaning supplies,6,Postage and stationery,Postage and stationery,,,,,,
309,spending,Housing,Housekeeping supplies,Laundry and cleaning supplies,6,Mean,Mean,150,101,178,193,145,83
310,spending,Housing,Housekeeping supplies,Laundry and cleaning supplies,6,Share,Share,0.2,0.2,0.4,0.3,0.2,0.2
311,spending,Housing,Housekeeping supplies,Laundry and cleaning supplies,6,SE,SE,7.83,42.55,14.03,17.87,10.41,7.79
312,spending,Housing,Housekeeping supplies,Laundry and cleaning supplies,6,CV(%),CV(%),5.23,41.97,7.87,9.27,7.16,9.33
313,spending,Housing,Household furnishings and equipment,,4,Household furnishings and equipment,Household furnishings and equipment,,,,,,
314,spending,Housing,Household furnishings and equipment,,4,Mean,Mean,1987,1919,1473,2150,2272,1729
315,spending,Housing,Household furnishings and equipment,,4,Share,Share,3.3,4.6,3.3,3.4,3.1,3.4
316,spending,Housing,Household furnishings and equipment,,4,SE,SE,58.55,1849.77,111.26,98.55,131.79,77.71
317,spending,Housing,Household furnishings and equipment,,4,CV(%),CV(%),2.95,96.4,7.56,4.58,5.8,4.49
318,spending,Housing,Household furnishings and equipment,Household textiles,6,Household textiles,Household textiles,,,,,,
319,spending,Housing,Household furnishings and equipment,Household textiles,6,Mean,Mean,114,30,110,123,113,109
320,spending,Housing,Household furnishings and equipment,Household textiles,6,Share,Share,0.2,0.1,0.2,0.2,0.2,0.2
321,spending,Housing,Household furnishings and equipment,Household textiles,6,SE,SE,8.78,12.37,20.44,18.43,12.35,17.93
322,spending,Housing,Household furnishings and equipment,Household textiles,6,CV(%),CV(%),7.7,40.87,18.54,14.99,10.95,16.52
323,spending,Housing,Household furnishings and equipment,Household textiles,6,Furniture,Furniture,,,,,,
324,spending,Housing,Household furnishings and equipment,Household textiles,6,Mean,Mean,515,109,353,514,621,505
325,spending,Housing,Household furnishings and equipment,Household textiles,6,Share,Share,0.9,0.3,0.8,0.8,0.9,1
326,spending,Housing,Household furnishings and equipment,Household textiles,6,SE,SE,26.06,46.43,44.36,37.08,59.75,33.14
327,spending,Housing,Household furnishings and equipment,Household textiles,6,CV(%),CV(%),5.06,42.46,12.56,7.21,9.62,6.57
328,spending,Housing,Household furnishings and equipment,Household textiles,6,Floor coverings,Floor coverings,,,,,,
329,spending,Housing,Household furnishings and equipment,Household textiles,6,Mean,Mean,30,65,8,28,26,48
330,spending,Housing,Household furnishings and equipment,Household textiles,6,Share,Share,0.1,0.2,b/,b/,b/,0.1
331,spending,Housing,Household furnishings and equipment,Household textiles,6,SE,SE,7.5,54.17,2.83,4.82,3.9,29.14
332,spending,Housing,Household furnishings and equipment,Household textiles,6,CV(%),CV(%),24.65,83.92,34.04,17.27,14.9,60.59
333,spending,Housing,Household furnishings and equipment,Household textiles,6,Major appliances,Major appliances,,,,,,
334,spending,Housing,Household furnishings and equipment,Household textiles,6,Mean,Mean,280,69,242,297,334,228
335,spending,Housing,Household furnishings and equipment,Household textiles,6,Share,Share,0.5,0.2,0.5,0.5,0.5,0.4
336,spending,Housing,Household furnishings and equipment,Household textiles,6,SE,SE,11.93,34.38,24.62,22.21,31.23,20.89
337,spending,Housing,Household furnishings and equipment,Household textiles,6,CV(%),CV(%),4.26,49.73,10.17,7.47,9.36,9.15
338,spending,Housing,Household furnishings and equipment,Household textiles,6,"Small appliances, miscellaneous housewares","Small appliances, miscellaneous housewares",,,,,,
339,spending,Housing,Household furnishings and equipment,Household textiles,6,Mean,Mean,131,10,93,161,133,110
340,spending,Housing,Household furnishings and equipment,Household textiles,6,Share,Share,0.2,b/,0.2,0.3,0.2,0.2
341,spending,Housing,Household furnishings and equipment,Household textiles,6,SE,SE,7.63,3.73,9.48,21.26,9.76,13.83
342,spending,Housing,Household furnishings and equipment,Household textiles,6,CV(%),CV(%),5.84,36.74,10.16,13.21,7.33,12.59
343,spending,Housing,Household furnishings and equipment,Household textiles,6,Miscellaneous household equipment,Miscellaneous household equipment,,,,,,
344,spending,Housing,Household furnishings and equipment,Household textiles,6,Mean,Mean,916,1635,665,1026,1045,730
345,spending,Housing,Household furnishings and equipment,Household textiles,6,Share,Share,1.5,3.9,1.5,1.6,1.4,1.4
346,spending,Housing,Household furnishings and equipment,Household textiles,6,SE,SE,38.04,1827.27,86.92,66.83,99.59,51.73
347,spending,Housing,Household furnishings and equipment,Household textiles,6,CV(%),CV(%),4.15,111.74,13.06,6.51,9.53,7.09
348,spending,Housing,,,0,,,,,,,,
349,spending,Apparel and services,,,2,Apparel and services,Apparel and services,,,,,,
350,spending,Apparel and services,,,2,Mean,Mean,1833,778,995,1730,2336,1908
351,spending,Apparel and services,,,2,Share,Share,3.1,1.9,2.2,2.7,3.2,3.7
352,spending,Apparel and services,,,2,SE,SE,56.45,484.61,86.55,79.11,133.39,97.6
353,spending,Apparel and services,,,2,CV(%),CV(%),3.08,62.3,8.7,4.57,5.71,5.11
354,spending,Apparel and services,Men and boys,,4,Men and boys,Men and boys,,,,,,
355,spending,Apparel and services,Men and boys,,4,Mean,Mean,442,215,168,414,618,443
356,spending,Apparel and services,Men and boys,,4,Share,Share,0.7,0.5,0.4,0.7,0.9,0.9
357,spending,Apparel and services,Men and boys,,4,SE,SE,16.38,127.31,28,27.54,48.18,34.74
358,spending,Apparel and services,Men and boys,,4,CV(%),CV(%),3.7,59.32,16.71,6.65,7.8,7.83
359,spending,Apparel and services,Men and boys,"Men, 16 and over",6,"Men, 16 and over","Men, 16 and over",,,,,,
360,spending,Apparel and services,Men and boys,"Men, 16 and over",6,Mean,Mean,342,167,153,374,415,327
361,spending,Apparel and services,Men and boys,"Men, 16 and over",6,Share,Share,0.6,0.4,0.3,0.6,0.6,0.6
362,spending,Apparel and services,Men and boys,"Men, 16 and over",6,SE,SE,15.35,122.5,29.31,26.55,37.96,32.08
363,spending,Apparel and services,Men and boys,"Men, 16 and over",6,CV(%),CV(%),4.48,73.36,19.21,7.11,9.15,9.82
364,spending,Apparel and services,Men and boys,"Men, 16 and over",6,"Boys, 2 to 15","Boys, 2 to 15",,,,,,
365,spending,Apparel and services,Men and boys,"Men, 16 and over",6,Mean,Mean,100,48,15,41,203,117
366,spending,Apparel and services,Men and boys,"Men, 16 and over",6,Share,Share,0.2,0.1,b/,0.1,0.3,0.2
367,spending,Apparel and services,Men and boys,"Men, 16 and over",6,SE,SE,5.31,42.93,4.17,5.43,19.92,11
368,spending,Apparel and services,Men and boys,"Men, 16 and over",6,CV(%),CV(%),5.32,90.15,27.94,13.34,9.79,9.42
369,spending,Apparel and services,Women and girls,,4,Women and girls,Women and girls,,,,,,
370,spending,Apparel and services,Women and girls,,4,Mean,Mean,694,212,444,715,877,616
371,spending,Apparel and services,Women and girls,,4,Share,Share,1.2,0.5,1,1.1,1.2,1.2
372,spending,Apparel and services,Women and girls,,4,SE,SE,24.3,162.62,48.77,44.58,71.29,45.54
373,spending,Apparel and services,Women and girls,,4,CV(%),CV(%),3.5,76.73,10.98,6.23,8.13,7.39
374,spending,Apparel and services,Women and girls,"Women, 16 and over",6,"Women, 16 and over","Women, 16 and over",,,,,,
375,spending,Apparel and services,Women and girls,"Women, 16 and over",6,Mean,Mean,580,209,419,661,647,493
376,spending,Apparel and services,Women and girls,"Women, 16 and over",6,Share,Share,1,0.5,0.9,1,0.9,1
377,spending,Apparel and services,Women and girls,"Women, 16 and over",6,SE,SE,23.07,162.65,47.79,45.04,64.25,38.62
378,spending,Apparel and services,Women and girls,"Women, 16 and over",6,CV(%),CV(%),3.98,77.99,11.42,6.82,9.94,7.83
379,spending,Apparel and services,Women and girls,"Women, 16 and over",6,"Girls, 2 to 15","Girls, 2 to 15",,,,,,
380,spending,Apparel and services,Women and girls,"Women, 16 and over",6,Mean,Mean,114,3,25,54,230,123
381,spending,Apparel and services,Women and girls,"Women, 16 and over",6,Share,Share,0.2,b/,0.1,0.1,0.3,0.2
382,spending,Apparel and services,Women and girls,"Women, 16 and over",6,SE,SE,6.6,2.46,6.84,5.51,20.34,14.28
383,spending,Apparel and services,Women and girls,"Women, 16 and over",6,CV(%),CV(%),5.78,72.79,26.89,10.15,8.83,11.61
384,spending,Apparel and services,Children under 2,,4,Children under 2,Children under 2,,,,,,
385,spending,Apparel and services,Children under 2,,4,Mean,Mean,77,c/,19,37,87,152
386,spending,Apparel and services,Children under 2,,4,Share,Share,0.1,c/,b/,0.1,0.1,0.3
387,spending,Apparel and services,Children under 2,,4,SE,SE,6.43,c/,7.27,7.4,11.49,15.61
388,spending,Apparel and services,Children under 2,,4,CV(%),CV(%),8.39,c/,38.49,20.26,13.16,10.24
389,spending,Apparel and services,Children under 2,,4,Footwear,Footwear,,,,,,
390,spending,Apparel and services,Children under 2,,4,Mean,Mean,379,295,185,338,500,410
391,spending,Apparel and services,Children under 2,,4,Share,Share,0.6,0.7,0.4,0.5,0.7,0.8
392,spending,Apparel and services,Children under 2,,4,SE,SE,20.56,216.51,36.42,32.22,42.34,34.14
393,spending,Apparel and services,Children under 2,,4,CV(%),CV(%),5.43,73.42,19.69,9.53,8.47,8.34
394,spending,Apparel and services,Children under 2,,4,Other apparel products and services,Other apparel products and services,,,,,,
395,spending,Apparel and services,Children under 2,,4,Mean,Mean,241,56,180,226,254,287
396,spending,Apparel and services,Children under 2,,4,Share,Share,0.4,0.1,0.4,0.4,0.4,0.6
397,spending,Apparel and services,Children under 2,,4,SE,SE,12.92,15.38,24.54,15.57,22.85,30.5
398,spending,Apparel and services,Children under 2,,4,CV(%),CV(%),5.36,27.27,13.64,6.88,9,10.63
399,spending,Apparel and services,,,0,,,,,,,,
400,spending,Transportation,,,2,Transportation,Transportation,,,,,,
401,spending,Transportation,,,2,Mean,Mean,9576,3222,6437,10020,11646,8629
402,spending,Transportation,,,2,Share,Share,15.9,7.7,14.4,15.9,16.1,16.8
403,spending,Transportation,,,2,SE,SE,198.51,1212.53,707.45,268.01,376.16,309.58
404,spending,Transportation,,,2,CV(%),CV(%),2.07,37.64,10.99,2.67,3.23,3.59
405,spending,Transportation,Vehicle purchases (net outlay),,4,Vehicle purchases (net outlay),Vehicle purchases (net outlay),,,,,,
406,spending,Transportation,Vehicle purchases (net outlay),,4,Mean,Mean,4054,261,2241,4147,5165,3825
407,spending,Transportation,Vehicle purchases (net outlay),,4,Share,Share,6.7,0.6,5,6.6,7.1,7.5
408,spending,Transportation,Vehicle purchases (net outlay),,4,SE,SE,146.09,198.88,280.48,221.9,339.47,273.74
409,spending,Transportation,Vehicle purchases (net outlay),,4,CV(%),CV(%),3.6,76.17,12.52,5.35,6.57,7.16
410,spending,Transportation,Vehicle purchases (net outlay),"Cars and trucks, new",6,"Cars and trucks, new","Cars and trucks, new",,,,,,
411,spending,Transportation,Vehicle purchases (net outlay),"Cars and trucks, new",6,Mean,Mean,1900,183,1223,2236,2327,1400
412,spending,Transportation,Vehicle purchases (net outlay),"Cars and trucks, new",6,Share,Share,3.2,0.4,2.7,3.5,3.2,2.7
413,spending,Transportation,Vehicle purchases (net outlay),"Cars and trucks, new",6,SE,SE,109.72,185.67,228.57,171.56,246.82,173.92
414,spending,Transportation,Vehicle purchases (net outlay),"Cars and trucks, new",6,CV(%),CV(%),5.78,101.39,18.68,7.67,10.61,12.42
415,spending,Transportation,Vehicle purchases (net outlay),"Cars and trucks, new",6,"Cars and trucks, used","Cars and trucks, used",,,,,,
416,spending,Transportation,Vehicle purchases (net outlay),"Cars and trucks, new",6,Mean,Mean,2101,78,963,1864,2793,2352
417,spending,Transportation,Vehicle purchases (net outlay),"Cars and trucks, new",6,Share,Share,3.5,0.2,2.2,3,3.9,4.6
418,spending,Transportation,Vehicle purchases (net outlay),"Cars and trucks, new",6,SE,SE,112.42,77.88,177.02,172.27,222.09,179.31
419,spending,Transportation,Vehicle purchases (net outlay),"Cars and trucks, new",6,CV(%),CV(%),5.35,99.88,18.38,9.24,7.95,7.62
420,spending,Transportation,Vehicle purchases (net outlay),"Cars and trucks, new",6,Other vehicles,Other vehicles,,,,,,
421,spending,Transportation,Vehicle purchases (net outlay),"Cars and trucks, new",6,Mean,Mean,53,c/,55,46,45,73
422,spending,Transportation,Vehicle purchases (net outlay),"Cars and trucks, new",6,Share,Share,0.1,c/,0.1,0.1,0.1,0.1
423,spending,Transportation,Vehicle purchases (net outlay),"Cars and trucks, new",6,SE,SE,9.62,c/,42.35,17.51,19.77,24.84
424,spending,Transportation,Vehicle purchases (net outlay),"Cars and trucks, new",6,CV(%),CV(%),18.09,c/,77.59,37.75,43.83,34.2
425,spending,Transportation,"Gasoline, other fuels, and motor oil",,4,"Gasoline, other fuels, and motor oil","Gasoline, other fuels, and motor oil",,,,,,
426,spending,Transportation,"Gasoline, other fuels, and motor oil",,4,Mean,Mean,1968,467,1080,1966,2500,1919
427,spending,Transportation,"Gasoline, other fuels, and motor oil",,4,Share,Share,3.3,1.1,2.4,3.1,3.4,3.7
428,spending,Transportation,"Gasoline, other fuels, and motor oil",,4,SE,SE,25.67,61.09,26.71,30.55,39.19,42.35
429,spending,Transportation,"Gasoline, other fuels, and motor oil",,4,CV(%),CV(%),1.3,13.07,2.47,1.55,1.57,2.21
430,spending,Transportation,"Gasoline, other fuels, and motor oil",,4,Other vehicle expenses,Other vehicle expenses,,,,,,
431,spending,Transportation,"Gasoline, other fuels, and motor oil",,4,Mean,Mean,2842,2095,2603,3145,3130,2275
432,spending,Transportation,"Gasoline, other fuels, and motor oil",,4,Share,Share,4.7,5,5.8,5,4.3,4.4
433,spending,Transportation,"Gasoline, other fuels, and motor oil",,4,SE,SE,90.56,1154.89,634.11,118.69,126.45,96.95
434,spending,Transportation,"Gasoline, other fuels, and motor oil",,4,CV(%),CV(%),3.19,55.13,24.36,3.77,4.04,4.26
435,spending,Transportation,"Gasoline, other fuels, and motor oil",Vehicle finance charges,6,Vehicle finance charges,Vehicle finance charges,,,,,,
436,spending,Transportation,"Gasoline, other fuels, and motor oil",Vehicle finance charges,6,Mean,Mean,220,8,68,210,301,235
437,spending,Transportation,"Gasoline, other fuels, and motor oil",Vehicle finance charges,6,Share,Share,0.4,b/,0.2,0.3,0.4,0.5
438,spending,Transportation,"Gasoline, other fuels, and motor oil",Vehicle finance charges,6,SE,SE,5.64,5.93,5.84,7.91,11.47,12.06
439,spending,Transportation,"Gasoline, other fuels, and motor oil",Vehicle finance charges,6,CV(%),CV(%),2.56,72.72,8.65,3.77,3.81,5.13
440,spending,Transportation,"Gasoline, other fuels, and motor oil",Vehicle finance charges,6,Maintenance and repairs,Maintenance and repairs,,,,,,
441,spending,Transportation,"Gasoline, other fuels, and motor oil",Vehicle finance charges,6,Mean,Mean,954,319,1246,1038,1017,654
442,spending,Transportation,"Gasoline, other fuels, and motor oil",Vehicle finance charges,6,Share,Share,1.6,0.8,2.8,1.6,1.4,1.3
443,spending,Transportation,"Gasoline, other fuels, and motor oil",Vehicle finance charges,6,SE,SE,82.24,82.9,625.24,34.13,44.99,22.72
444,spending,Transportation,"Gasoline, other fuels, and motor oil",Vehicle finance charges,6,CV(%),CV(%),8.62,25.96,50.18,3.29,4.42,3.47
445,spending,Transportation,"Gasoline, other fuels, and motor oil",Vehicle finance charges,6,Vehicle insurance,Vehicle insurance,,,,,,
446,spending,Transportation,"Gasoline, other fuels, and motor oil",Vehicle finance charges,6,Mean,Mean,967,1489,752,1129,1016,781
447,spending,Transportation,"Gasoline, other fuels, and motor oil",Vehicle finance charges,6,Share,Share,1.6,3.6,1.7,1.8,1.4,1.5
448,spending,Transportation,"Gasoline, other fuels, and motor oil",Vehicle finance charges,6,SE,SE,51.16,1150.63,106.14,100.11,93.84,82.26
449,spending,Transportation,"Gasoline, other fuels, and motor oil",Vehicle finance charges,6,CV(%),CV(%),5.29,77.26,14.11,8.87,9.23,10.53
450,spending,Transportation,"Gasoline, other fuels, and motor oil",Vehicle finance charges,6,"Vehicle rental, leases, licenses, and other charges","Vehicle rental, leases, licenses, and other charges",,,,,,
451,spending,Transportation,"Gasoline, other fuels, and motor oil",Vehicle finance charges,6,Mean,Mean,700,278,537,769,797,605
452,spending,Transportation,"Gasoline, other fuels, and motor oil",Vehicle finance charges,6,Share,Share,1.2,0.7,1.2,1.2,1.1,1.2
453,spending,Transportation,"Gasoline, other fuels, and motor oil",Vehicle finance charges,6,SE,SE,19.71,65.25,57.66,44.04,44.49,29.79
454,spending,Transportation,"Gasoline, other fuels, and motor oil",Vehicle finance charges,6,CV(%),CV(%),2.81,23.45,10.73,5.73,5.59,4.93
455,spending,Transportation,Public and other transportation,,4,Public and other transportation,Public and other transportation,,,,,,
456,spending,Transportation,Public and other transportation,,4,Mean,Mean,712,398,512,762,851,610
457,spending,Transportation,Public and other transportation,,4,Share,Share,1.2,1,1.1,1.2,1.2,1.2
458,spending,Transportation,Public and other transportation,,4,SE,SE,21.82,172.57,56.66,39.54,40.34,32.01
459,spending,Transportation,Public and other transportation,,4,CV(%),CV(%),3.06,43.33,11.06,5.19,4.74,5.25
460,spending,Transportation,,,0,,,,,,,,
461,spending,Healthcare,,,2,Healthcare,Healthcare,,,,,,
462,spending,Healthcare,,,2,Mean,Mean,4928,6011,6619,5921,4714,2894
463,spending,Healthcare,,,2,Share,Share,8.2,14.4,14.8,9.4,6.5,5.6
464,spending,Healthcare,,,2,SE,SE,72.31,496.54,143.02,129.66,100.73,91.51
465,spending,Healthcare,,,2,CV(%),CV(%),1.47,8.26,2.16,2.19,2.14,3.16
466,spending,Healthcare,Health insurance,,4,Health insurance,Health insurance,,,,,,
467,spending,Healthcare,Health insurance,,4,Mean,Mean,3414,4228,4688,4052,3243,2043
468,spending,Healthcare,Health insurance,,4,Share,Share,5.7,10.1,10.5,6.4,4.5,4
469,spending,Healthcare,Health insurance,,4,SE,SE,42.57,291.17,90.71,77.96,65.74,68.59
470,spending,Healthcare,Health insurance,,4,CV(%),CV(%),1.25,6.89,1.93,1.92,2.03,3.36
471,spending,Healthcare,Health insurance,,4,Medical services,Medical services,,,,,,
472,spending,Healthcare,Health insurance,,4,Mean,Mean,872,985,882,1059,910,565
473,spending,Healthcare,Health insurance,,4,Share,Share,1.5,2.4,2,1.7,1.3,1.1
474,spending,Healthcare,Health insurance,,4,SE,SE,32.45,467.21,61.77,57.77,44.22,53.61
475,spending,Healthcare,Health insurance,,4,CV(%),CV(%),3.72,47.44,7,5.46,4.86,9.48
476,spending,Healthcare,Health insurance,,4,Drugs,Drugs,,,,,,
477,spending,Healthcare,Health insurance,,4,Mean,Mean,486,649,819,622,413,201
478,spending,Healthcare,Health insurance,,4,Share,Share,0.8,1.6,1.8,1,0.6,0.4
479,spending,Healthcare,Health insurance,,4,SE,SE,12.47,84.14,53.92,22.76,17.05,15.3
480,spending,Healthcare,Health insurance,,4,CV(%),CV(%),2.57,12.96,6.58,3.66,4.13,7.61
481,spending,Healthcare,Health insurance,,4,Medical supplies,Medical supplies,,,,,,
482,spending,Healthcare,Health insurance,,4,Mean,Mean,156,149,229,188,149,85
483,spending,Healthcare,Health insurance,,4,Share,Share,0.3,0.4,0.5,0.3,0.2,0.2
484,spending,Healthcare,Health insurance,,4,SE,SE,7.69,46.01,36.2,11.32,9.16,7.7
485,spending,Healthcare,Health insurance,,4,CV(%),CV(%),4.92,30.82,15.77,6.03,6.15,9.07
486,spending,Healthcare,,,0,,,,,,,,
487,spending,Entertainment,,,2,Entertainment,Entertainment,,,,,,
488,spending,Entertainment,,,2,Mean,Mean,3203,893,2110,3425,4194,2496
489,spending,Entertainment,,,2,Share,Share,5.3,2.1,4.7,5.4,5.8,4.9
490,spending,Entertainment,,,2,SE,SE,108.24,87.87,141.7,160.95,280,110.98
491,spending,Entertainment,,,2,CV(%),CV(%),3.38,9.84,6.72,4.7,6.68,4.45
492,spending,Entertainment,Fees and admissions,,4,Fees and admissions,Fees and admissions,,,,,,
493,spending,Entertainment,Fees and admissions,,4,Mean,Mean,750,190,496,680,1144,579
494,spending,Entertainment,Fees and admissions,,4,Share,Share,1.2,0.5,1.1,1.1,1.6,1.1
495,spending,Entertainment,Fees and admissions,,4,SE,SE,32.66,51.61,62.44,42.86,66.13,26.06
496,spending,Entertainment,Fees and admissions,,4,CV(%),CV(%),4.35,27.12,12.59,6.3,5.78,4.5
497,spending,Entertainment,Fees and admissions,,4,Audio and visual equipment and services,Audio and visual equipment and services,,,,,,
498,spending,Entertainment,Fees and admissions,,4,Mean,Mean,985,593,875,1088,1112,782
499,spending,Entertainment,Fees and admissions,,4,Share,Share,1.6,1.4,2,1.7,1.5,1.5
500,spending,Entertainment,Fees and admissions,,4,SE,SE,20.54,48.34,32.56,31.46,32.99,26.54
501,spending,Entertainment,Fees and admissions,,4,CV(%),CV(%),2.08,8.15,3.72,2.89,2.97,3.39
502,spending,Entertainment,Fees and admissions,,4,"Pets, toys, hobbies, and playground equipment","Pets, toys, hobbies, and playground equipment",,,,,,
503,spending,Entertainment,Fees and admissions,,4,Mean,Mean,869,89,558,979,1131,629
504,spending,Entertainment,Fees and admissions,,4,Share,Share,1.4,0.2,1.2,1.6,1.6,1.2
505,spending,Entertainment,Fees and admissions,,4,SE,SE,66.18,32.29,80.85,80.85,201.8,40.72
506,spending,Entertainment,Fees and admissions,,4,CV(%),CV(%),7.62,36.15,14.5,8.26,17.85,6.47
507,spending,Entertainment,Fees and admissions,Pets,6,Pets,Pets,,,,,,
508,spending,Entertainment,Fees and admissions,Pets,6,Mean,Mean,710,70,486,837,923,449
509,spending,Entertainment,Fees and admissions,Pets,6,Share,Share,1.2,0.2,1.1,1.3,1.3,0.9
510,spending,Entertainment,Fees and admissions,Pets,6,SE,SE,64.97,28.01,85.5,80.17,192.91,40.96
511,spending,Entertainment,Fees and admissions,Pets,6,CV(%),CV(%),9.15,39.95,17.6,9.58,20.9,9.12
512,spending,Entertainment,Fees and admissions,Pets,6,"Toys, hobbies, and playground equipment","Toys, hobbies, and playground equipment",,,,,,
513,spending,Entertainment,Fees and admissions,Pets,6,Mean,Mean,159,19,72,142,208,180
514,spending,Entertainment,Fees and admissions,Pets,6,Share,Share,0.3,b/,0.2,0.2,0.3,0.4
515,spending,Entertainment,Fees and admissions,Pets,6,SE,SE,10.28,11.88,14.94,12.88,21.14,23.24
516,spending,Entertainment,Fees and admissions,Pets,6,CV(%),CV(%),6.47,61.89,20.79,9.07,10.18,12.9
517,spending,Entertainment,"Other entertainment supplies, equipment, and services",,4,"Other entertainment supplies, equipment, and services","Other entertainment supplies, equipment, and services",,,,,,
518,spending,Entertainment,"Other entertainment supplies, equipment, and services",,4,Mean,Mean,599,20,181,677,807,506
519,spending,Entertainment,"Other entertainment supplies, equipment, and services",,4,Share,Share,1,b/,0.4,1.1,1.1,1
520,spending,Entertainment,"Other entertainment supplies, equipment, and services",,4,SE,SE,62.75,13.58,47.52,136.02,120.03,81.08
521,spending,Entertainment,"Other entertainment supplies, equipment, and services",,4,CV(%),CV(%),10.48,67.79,26.22,20.08,14.88,16.04
522,spending,Entertainment,,,0,,,,,,,,
523,spending,Personal care products and services,,,2,Personal care products and services,Personal care products and services,,,,,,
524,spending,Personal care products and services,,,2,Mean,Mean,762,436,630,767,970,616
525,spending,Personal care products and services,,,2,Share,Share,1.3,1,1.4,1.2,1.3,1.2
526,spending,Personal care products and services,,,2,SE,SE,15.24,50.05,30.77,25.83,36.71,26.62
527,spending,Personal care products and services,,,2,CV(%),CV(%),2,11.47,4.89,3.37,3.78,4.32
528,spending,Personal care products and services,,,0,,,,,,,,
529,spending,Reading,,,2,Reading,Reading,,,,,,
530,spending,Reading,,,2,Mean,Mean,110,119,164,125,108,63
531,spending,Reading,,,2,Share,Share,0.2,0.3,0.4,0.2,0.1,0.1
532,spending,Reading,,,2,SE,SE,5.45,56.65,19.3,10.29,10.59,6.45
533,spending,Reading,,,2,CV(%),CV(%),4.95,47.44,11.77,8.21,9.77,10.24
534,spending,Reading,,,0,,,,,,,,
535,spending,Education,,,2,Education,Education,,,,,,
536,spending,Education,,,2,Mean,Mean,1491,44,397,1454,2149,1457
537,spending,Education,,,2,Share,Share,2.5,0.1,0.9,2.3,3,2.8
538,spending,Education,,,2,SE,SE,92.85,15.08,91.54,177.41,192.26,134.47
539,spending,Education,,,2,CV(%),CV(%),6.23,34.52,23.05,12.2,8.95,9.23
540,spending,Education,,,0,,,,,,,,
541,spending,Tobacco products and smoking supplies,,,2,Tobacco products and smoking supplies,Tobacco products and smoking supplies,,,,,,
542,spending,Tobacco products and smoking supplies,,,2,Mean,Mean,332,68,147,395,377,303
543,spending,Tobacco products and smoking supplies,,,2,Share,Share,0.6,0.2,0.3,0.6,0.5,0.6
544,spending,Tobacco products and smoking supplies,,,2,SE,SE,10.61,34.67,12.17,17.12,19.99,18.17
545,spending,Tobacco products and smoking supplies,,,2,CV(%),CV(%),3.19,50.72,8.29,4.33,5.3,6
546,spending,Tobacco products and smoking supplies,,,0,,,,,,,,
547,spending,Miscellaneous,,,2,Miscellaneous,Miscellaneous,,,,,,
548,spending,Miscellaneous,,,2,Mean,Mean,1010,706,882,1253,1113,645
549,spending,Miscellaneous,,,2,Share,Share,1.7,1.7,2,2,1.5,1.3
550,spending,Miscellaneous,,,2,SE,SE,67.75,266.13,119.09,153.29,120.25,82.64
551,spending,Miscellaneous,,,2,CV(%),CV(%),6.71,37.67,13.5,12.23,10.81,12.82
552,spending,Miscellaneous,,,0,,,,,,,,
553,spending,Cash contributions,,,2,Cash contributions,Cash contributions,,,,,,
554,spending,Cash contributions,,,2,Mean,Mean,1873,4054,2470,2267,1960,842
555,spending,Cash contributions,,,2,Share,Share,3.1,9.7,5.5,3.6,2.7,1.6
556,spending,Cash contributions,,,2,SE,SE,95.94,1543.56,166.25,151.65,147.26,74.89
557,spending,Cash contributions,,,2,CV(%),CV(%),5.12,38.08,6.73,6.69,7.51,8.9
558,spending,Cash contributions,,,0,,,,,,,,
559,spending,Personal insurance and pensions,,,2,Personal insurance and pensions,Personal insurance and pensions,,,,,,
560,spending,Personal insurance and pensions,,,2,Mean,Mean,6771,755,2589,7438,9129,5720
561,spending,Personal insurance and pensions,,,2,Share,Share,11.3,1.8,5.8,11.8,12.6,11.1
562,spending,Personal insurance and pensions,,,2,SE,SE,144.47,264.79,497.33,256.26,208.44,145.49
563,spending,Personal insurance and pensions,,,2,CV(%),CV(%),2.13,35.08,19.21,3.45,2.28,2.54
564,spending,Personal insurance and pensions,Life and other personal insurance,,4,Life and other personal insurance,Life and other personal insurance,,,,,,
565,spending,Personal insurance and pensions,Life and other personal insurance,,4,Mean,Mean,418,343,408,580,447,172
566,spending,Personal insurance and pensions,Life and other personal insurance,,4,Share,Share,0.7,0.8,0.9,0.9,0.6,0.3
567,spending,Personal insurance and pensions,Life and other personal insurance,,4,SE,SE,11.72,116.09,29.83,29.41,20.05,11.82
568,spending,Personal insurance and pensions,Life and other personal insurance,,4,CV(%),CV(%),2.81,33.83,7.32,5.07,4.48,6.89
569,spending,Personal insurance and pensions,Life and other personal insurance,,4,Pensions and Social Security,Pensions and Social Security,,,,,,
570,spending,Personal insurance and pensions,Life and other personal insurance,,4,Mean,Mean,6353,412,2182,6858,8682,5548
571,spending,Personal insurance and pensions,Life and other personal insurance,,4,Share,Share,10.6,1,4.9,10.9,12,10.8
572,spending,Personal insurance and pensions,Life and other personal insurance,,4,SE,SE,139.67,200.55,488.57,246.05,203.13,141.69
573,spending,Personal insurance and pensions,Life and other personal insurance,,4,CV(%),CV(%),2.2,48.73,22.4,3.59,2.34,2.55
574,spending,,,,0,,,,,,,,
